name;socr;code;index;gninmb;uno;ocatd;status
Совки;д;3700700017900;;3703;;24211810011;0
Сокерново;д;3700700018000;155840;3703;;24211836026;0
Сонинская;д;3700700018100;155827;3703;;24211812031;0
Станко;с;3700700018200;;3703;;24211844006;0
Поспелиха Старая;д;3700700018300;155810;3703;;24211828022;0
Старое Село;д;3700700018400;155810;3703;;24211828024;0
Степино;д;3700700018500;155824;3703;;24211808022;0
Степунино;д;3700700018600;155827;3703;;24211812028;0
Стиберское;д;3700700018700;155843;3703;;24211840016;0
Стояниха;д;3700700018800;155828;3703;;24211848018;0
Строиха;д;3700700018900;155824;3703;;24211808023;0
Стулово;д;3700700019000;155827;3703;;24211812029;0
Сыровская;д;3700700019100;155827;3703;;24211812030;0
Тарасиха;д;3700700019200;155830;3703;;24211844001;0
Таратино;д;3700700019300;155828;3703;;24211848019;0
Тереховская;д;3700700019400;155840;3703;;24211812032;0
Тимониха;д;3700700019500;155826;3703;;24211804037;0
Тихоново;д;3700700019699;155840;3703;;24211000000;0
Токово;д;3700700019700;155821;3703;;24211832013;0
Тревражное;д;3700700019800;;3703;;24211844007;0
Трегубиха;д;3700700019900;155829;3703;;24211848038;0
Трениха;д;3700700020000;155838;3703;;24211828025;0
Третьяково;д;3700700020100;155827;3703;;24211812033;0
Угловатица;д;3700700020200;155828;3703;;24211848020;0
Ульяново;д;3700700020300;155827;3703;;24211812034;0
Устново;д;3700700020400;155824;3703;;24211808024;0
Фатиха;д;3700700020500;155838;3703;;24211828026;0
Филинская;д;3700700020600;155826;3703;;24211804038;0
Фомино;д;3700700020700;155845;3703;;24211820012;0
Фоминское;д;3700700020800;155824;3703;;24211808025;0
Ховрачиха;д;3700700020900;155824;3703;;24211808026;0
Черная;д;3700700021000;155843;3703;;24211840017;0
Чернышево;д;3700700021100;155824;3703;;24211808027;0
Черняково;д;3700700021200;155828;3703;;24211848022;0
Чигаево;д;3700700021300;155827;3703;;24211812035;0
Шанино;д;3700700021400;155828;3703;;24211848023;0
Шевалдово;д;3700700021500;155827;3703;;24211812036;0
Шерониха;д;3700700021600;155810;3703;;24211828027;0
Шилекша;с;3700700021700;155828;3703;;24211848001;0
Шилово;д;3700700021800;155826;3703;;24211804039;0
Ширшовка;д;3700700021900;155841;3703;;24211810012;0
Ширяиха;д;3700700022000;155828;3703;;24211848024;0
Шихово;д;3700700022100;155824;3703;;24211808028;0
